Headlines,Fecha,traduccion
Por qué Torres no pudo convencer a los fondos,2025-10-20,Why Torres couldn't convince the funds
"Oliu: ""El gobierno nos pidió que hiciéramos milagros para que no saliera la opa""",2025-10-20,"Oliu: ""The government asked us to do miracles so that the opa didn't come out"""
BBVA y Sabadell valen 38.000 millones más desde la opa,2025-10-20,BBVA and Sabadell are worth 38 billion more since opa
De Gas Natural a BBVA; por qué nadie dimite tras las opas fracasadas en España,2025-10-20,From Gas Natural to BBVA; why nobody resigns after failed opas in Spain
Las cotizadas españolas reparten casi 30.000 millones en dividendos hasta septiembre,2025-10-19,Spanish listed companies distribute almost 30 billion in dividends until September
"Torres (BBVA): ""No existe ninguna posibilidad de volver a presentar una opa por Sabadell""",2025-10-19,"Torres (BBVA): ""There is no possibility to resubmit an opa for Sabadell"""
¿Y ahora qué?,2025-10-18,What now?
El mejor escudo antiopas para Sabadell es comprar un banco,2025-10-18,The best antiop shield for Sabadell is to buy a bank
Bruselas defiende la concentración bancaria tras el fracaso de la opa,2025-10-18,Brussels defends banking concentration after the failure of the opa
Qué esperar de las acciones de BBVA y Sabadell tras la opa,2025-10-18,What to expect from the stock of BBVA and Sabadell after the opa
Las 9 piedras en el camino de BBVA que han reventado la opa a Sabadell,2025-10-18,The 9 stones on the way to BBVA that have burst the opa to Sabadell
"Los accionistas, los verdaderos vencedores de la opa de BBVA sobre Sabadell",2025-10-18,"Shareholders, the real winners of BBVA’s opa over Sabadell"
"Oliu y González-Bueno, satisfechos ante la ""mejor salida para todos""",2025-10-17,"Oliu and González-Well, satisfied with the ""best way out for all"""
Cuerpo defiende el papel del Gobierno en la opa fallida de BBVA sobre Sabadell,2025-10-17,Corps defends the role of the government in BBVA’s failed opa on Sabadell
"La City pone ahora la presión sobre BBVA: ""¿Qué quiere ser de mayor?""",2025-10-17,"The City now puts pressure on BBVA: ""What do you want to be older?"""
"Minoritarios de Banco Sabadell, empresarios y políticos catalanes celebran el fracaso de la opa",2025-10-17,"Minioritarians of Banco Sabadell, Catalan businessmen and politicians celebrate the failure of the Opa"
¿Por qué ha fracasado la opa de BBVA sobre Sabadell?,2025-10-17,Why has BBVA's opa failed on Sabadell?
Bruselas sigue adelante con el expediente a España pese al fracaso de la opa,2025-10-17,Brussels continues with the dossier to Spain despite the failure of the opa
"Salvador Illa, sobre el fracaso de la opa de BBVA sobre Sabadell: ""Es una buena noticia para Cataluña y el resto de España""",2025-10-17,"Salvador Illa, on the failure of BBVA's opa on Sabadell: ""It's good news for Catalonia and the rest of Spain"""
"Carlos Torres: ""El fracaso de la opa de BBVA sobre Sabadell no es razón para dimitir""",2025-10-17,"Carlos Torres: ""The failure of BBVA's opa on Sabadell is no reason to resign"""
"Sabadell, tras el fracaso de la opa de BBVA: ""Este proyecto tiene un mejor futuro de forma independiente""",2025-10-17,"Sabadell, after the failure of BBVA's opa: ""This project has a better future independently"""
BBVA se dispara en el Ibex y Sabadell se desinfla,2025-10-17,BBVA shoots in the Ibex and Sabadell deflates
Sabadell triunfa con gran mérito,2025-10-17,Sabadell triumphs with great merit
"La Primera de Expansión sobre el fracaso de la opa, Carlos Torres, Isak Andik, Venezuela, Milei y Ferrari",2025-10-17,"The First Expansion on Opa Failure, Carlos Torres, Isak Andik, Venezuela, Milei and Ferrari"
"El promotor Tomás Olivo, segundo accionista de Unicaja, no acudió a la opa de BBVA",2025-10-17,"Promoter Tomás Olivo, second shareholder of Unicaja, did not go to BBVA’s opa"
Los accionistas de Sabadell frustran la ofensiva de BBVA,2025-10-17,Sabadell’s shareholders thwart BBVA’s offensive
¿Cómo reaccionarán en Bolsa las acciones de BBVA y Sabadell?,2025-10-17,How will the stock of BBVA and Sabadell react on the Stock Exchange?
"Antonio Romero (Ceca): ""Hay que revisar de arriba abajo la regulación europea para simplificarla""",2025-10-17,"Antonio Romero (Ceca): ""European regulation needs to be revised from top to bottom to simplify it"""
El mapa bancario en España tras fracasar la opa BBVA-Sabadell,2025-10-17,The banking map in Spain after the failure of the BBVA-Sabadell opa
Así ha sido la pelea de año y medio entre Banco Sabadell y BBVA,2025-10-17,This was the year-and-a-half fight between Banco Sabadell and BBVA
"El Gobierno muestra su ""total respeto"" por el resultado de la opa de BBVA sobre Sabadell",2025-10-16,"The government shows its ""total respect"" for the outcome of BBVA's opa on Sabadell"
Las patronales catalanas celebran el fracaso de la opa de BBVA sobre Sabadell,2025-10-16,Catalan employers celebrate the failure of BBVA’s opa on Sabadell
"Los minoristas de Sabadell celebran que haya triunfado ""el sentido común""",2025-10-16,"Sabadell retailers celebrate the success of ""common sense"""
"Puigdemont celebra el fracaso de la opa de BBVA sobre Sabadell: ""Era importante que no prosperase""",2025-10-16,"Puigdemont celebrates the failure of BBVA's opa on Sabadell: ""It was important that it didn't prosper"""
"Illa: ""Siempre hemos defendido un sistema bancario adaptado a la realidad catalana""",2025-10-16,"Illa: ""We have always defended a banking system adapted to Catalan reality"""
Naufraga la opa de BBVA sobre Sabadell: tres grandes consecuencias del fracaso,2025-10-16,BBVA's opa on Sabadell wrecks: three major consequences of failure
"Torres (BBVA): ""Nuestros objetivos hasta 2028 nos mantendrán a la cabeza de la banca europea""",2025-10-16,"Torres (BBVA): ""Our objectives until 2028 will keep us at the head of the European banking system"""
BBVA se dispara en Wall Street tras el fracaso de la opa sobre Sabadell,2025-10-16,BBVA shoots on Wall Street after Opa’s failure on Sabadell
"BBVA logra el 25,47% de Sabadell en la opa",2025-10-16,BBVA achieves 25.47% of Sabadell in the world
El Ibex recupera los 15.600 puntos y se prepara para nuevos máximos,2025-10-16,"Ibex recovers 15,600 points and prepares for new peaks"
BBVA cae en el Ibex: el mercado valora tres escenarios ante la opa,2025-10-16,BBVA falls in the Ibex: the market values three scenarios before the opa
BBVA-Sabadell: llega el desenlace de la mayor batalla bancaria de la década,2025-10-16,BBVA-Sabadell: the outcome of the biggest banking battle of the decade comes
BBVA y CaixaBank se lanzan a financiar al capital riesgo para ganar rentabilidad,2025-10-16,BBVA and CaixaBank start to finance venture capital to gain profitability
"La Primera de Expansión sobre BBVA, Sabadell, CaixaBank, Indra, vivienda, criptomonedas y el salón de baile de Trump",2025-10-16,"The First Expansion on BBVA, Sabadell, CaixaBank, Indra, housing, cryptocurrencies and the Trump Ballroom"
Los fondos españoles venden Sabadell en el mercado o esperan a la segunda opa,2025-10-16,Spanish funds sell Sabadell on the market or wait for the second opa
La CNMV ha obligado a revisar más de una decena de precios en opas,2025-10-16,The CNMV has forced to review more than a dozen opas prices
BBVA y Sabadell caen ligeramente en Bolsa a las puertas de que la CNMV publique el resultado de la opa,2025-10-16,BBVA and Sabadell fall slightly on the Stock Exchange to the doors of the CNMV publishing the result of the opa
BBVA y Sabadell se miran en el espejo bursátil de UniCredit y Monte dei Paschi,2025-10-16,BBVA and Sabadell look at the UniCredit and Monte dei Paschi stock exchange mirror
El Ibex choca con sus máximos y se aleja de los 15.600 puntos,2025-10-15,"The Ibex hits its peaks and moves away from the 15,600 points"
Bestinver vende sus acciones de Sabadell y no acude a la opa,2025-10-15,Bestinver sells his shares in Sabadell and does not go to the Opa
"El precio mínimo de Sabadell en una segunda opa de BBVA podría ser de 3,39 euros",2025-10-15,The minimum price of Sabadell in a second BBVA opa could be 3.39 euros
"La Primera de Expansión sobre Ruiz Tagle, BBVA, Trump y España, Apple, Nvidia, Stellantis y Milei",2025-10-15,"The First Expansion on Ruiz Tagle, BBVA, Trump and Spain, Apple, Nvidia, Stellantis and Milei"
Ligeros repuntes en Bolsa de Sabadell y BBVA,2025-10-15,Slight rebounds in Sabadell Stock Exchange and BBVA
Las utilities acercan al Ibex a los 15.600 puntos,2025-10-14,"Uses bring Ibex closer to 15,600 points"
"Sabadell comunica que solo el 2,8% de los inversores con acciones en el banco ha acudido a la opa de BBVA",2025-10-14,Sabadell reports that only 2.8% of investors with shares in the bank have gone to BBVA’s opa
"La Primera de Expansión sobre autónomos, BBVA, Sabadell, Aena, OpenAI, Apple y Alemania",2025-10-14,"The First Expansion on Self-Government, BBVA, Sabadell, Aena, OpenAI, Apple and Germany"
BBVA se enfrenta en la opa sobre Sabadell a una encrucijada de riesgos,2025-10-14,BBVA faces a crossroads of risks in Sabadell’s opa
La Bolsa cotiza que BBVA no superará el 50% de Sabadell en esta opa,2025-10-14,The Stock Exchange listed that BBVA will not exceed 50% of Sabadell in this opa
BBVA y Sabadell hacen sus cuentas bajo la lupa de la CNMV,2025-10-14,BBVA and Sabadell make their accounts under CNMV's magnifying glass
El PNV se reconcilia con el BBVA antes del desenlace de la opa sobre Sabadell,2025-10-13,The PNV is reconciled with BBVA before the outcome of the opa on Sabadell
El Ibex recupera el 15.500 atento a las tensiones comerciales entre EEUU y China,2025-10-13,"Ibex recovers 15,500 attentive to US-China trade tensions"
Sabadell sube en el Ibex en pleno recuento de la opa,2025-10-13,Sabadell goes up in the Ibex in full opa count
"Urrutia (Amaef): ""Que BBVA y Sabadell no se puedan fusionar en tres años minimizará el impacto en bancaseguros""",2025-10-13,"Urrutia (Amaef): ""That BBVA and Sabadell cannot merge in three years will minimize the impact on insurance banks"""
"La Primera de Expansión sobre BBVA, Sabadell, Juan Roig, tierras raras, Google, Hamás y Novo Nordisk",2025-10-13,"The First Expansion on BBVA, Sabadell, Juan Roig, Rare Lands, Google, Hamas and Novo Nordisk"
"Blackstone, Cerberus y Ares ponen a la venta 25.000 viviendas de alquiler en España",2025-10-13,"Blackstone, Cerberus and Ares sell 25,000 rental properties in Spain"
"""Los europeos ahorran mucho, pero tienen miedo cuando toca invertir""",2025-10-13,"""Europeans save a lot, but are afraid when it comes to investing"""
"Beltrán de la Lastra: ""El dinero está más protegido en Bolsa que en el banco""",2025-10-13,"Beltrán de la Lastra: ""The money is more protected in the stock exchange than in the bank"""
"El mercado, pendiente de los datos clave de la operación",2025-10-13,"The market, pending key transaction data"
Sabadell conoce hoy la aceptación o no del 30% de los accionistas,2025-10-13,Sabadell knows today the acceptance or not of 30% of the shareholders
¿Qué pasará con la acción de Sabadell esta semana?,2025-10-13,What about Sabadell's action this week?
La batalla BBVA-Sabadell aboca al Gobierno a revisar la ley de opas,2025-10-13,BBVA-Sabadell battle calls on the government to review the law of opas
¿Opas en acciones o en efectivo? La Bolsa prefiere el dinero,2025-10-12,Do you have an option in stock or cash? The stock exchange prefers money
BBVA y Sabadell juntos cambiarían el mapa bancario en España,2025-10-11,BBVA and Sabadell together would change the banking map in Spain
Por qué el recuento de la opa de BBVA sobre Sabadell tarda 7 días,2025-10-11,Why the BBVA opa count on Sabadell takes 7 days
David Martínez puede llegar a ser primer accionista de BBVA,2025-10-11,David Martinez can become first shareholder of BBVA
La banca de inversión aplaude la estrategia de Sabadell en la opa,2025-10-11,Investment banking applauds Sabadell’s strategy in the Opa
¿Qué pasará con las acciones de Sabadell tras la opa?,2025-10-11,What about Sabadell's stock after the opa?
Máxima incertidumbre sobre el resultado de la opa de BBVA-Sabadell,2025-10-11,Maximum uncertainty about the outcome of BBVA-Sabadell’s opa
El Ibex se gira a la baja con la amenaza de Trump,2025-10-10,Ibex Turns Down with Trump Threat
BBVA y Sabadell echan el resto en las últimas horas de aceptación de la opa,2025-10-10,BBVA and Sabadell cast the rest in the last hours of acceptance of the opa
Los fondos de gestión activa de BlackRock aceptarán la opa de BBVA,2025-10-10,BlackRock’s active management funds will accept BBVA’s opa
Un 57% de los grandes fondos cree que habrá segunda opa de BBVA sobre Sabadell,2025-10-10,57% of the big funds believe that there will be second opa of BBVA on Sabadell
"La Primera de Expansión sobre BBVA, Sabadell, Gaza, Francia, Indra, Nvidia y Milei",2025-10-10,"The First Expansion on BBVA, Sabadell, Gaza, France, Indra, Nvidia and Milei"
Torres descarta una segunda opa si el precio equitativo supera el actual,2025-10-10,Torres discards a second opa if the fair price exceeds the current one
David Martínez acude a la opa de BBVA con toda su cartera,2025-10-10,David Martínez goes to BBVA’s opa with his entire portfolio
"La prima de la opa de BBVA sobre Sabadell es del 2,02%",2025-10-10,The premium for BBVA’s opa over Sabadell is 2.02%
El abismo de los cálculos de BBVA y Sabadell,2025-10-10,The abyss of BBVA and Sabadell calculations
BBVA amplía horarios en oficinas y 'call centers' el último día de la opa,2025-10-10,BBVA expands office hours and call centers on the last day of the opa
El Ibex pierde los 15.600 puntos con el lastre de Puig y los pesos pesados,2025-10-09,"The Ibex loses the 15,600 points with the Puig ballast and heavy weights"
"La CNMV amenaza con sancionar a BBVA y Sabadell por ""especular"" con la opa",2025-10-09,"CNMV threatens to sanction BBVA and Sabadell for ""speculating"" with the opa"
BBVA supera el 20% de aceptación en la opa sobre Sabadell,2025-10-09,BBVA exceeds 20% acceptance in the Opa over Sabadell
Guerra de cifras BBVA-Sabadell: ¿debería España adoptar el modelo italiano de opas?,2025-10-09,BBVA-Sabadell: Should Spain adopt the Italian model of opas?
"La Primera de Expansión sobre BBVA, Sabadell, paz en Gaza, Ryanair, China y Davos",2025-10-09,"The First Expansion on BBVA, Sabadell, peace in Gaza, Ryanair, China and Davos"
"La prima de la opa repunta al 2,23%",2025-10-09,"The premium of the opa is 2,23%"
"BlackRock suma y sigue y escala hasta el 7,36% de Sabadell",2025-10-09,BlackRock adds and follows and scales up to 7.36% of Sabadell
Goldman Sachs reorganiza su estructura en España,2025-10-09,Goldman Sachs reorganizes its structure in Spain
La CNMV anunciará el resultado de la opa de BBVA sobre Sabadell el 17 de octubre,2025-10-08,The CNMV will announce the outcome of BBVA’s opa on Sabadell on October 17th
El Gobierno vasco da su respaldo a BBVA en la recta final de la opa,2025-10-08,The Basque Government supports BBVA in the final stretch of the Opa
Los fondos cazaopas deciden hoy si van a la oferta de BBVA sobre Sabadell,2025-10-08,The scout funds decide today if they go to BBVA's offer on Sabadell
"La Primera de Expansión sobre BBVA, Javier Botín, Tesla, los salarios del IBEX y récord del oro",2025-10-08,"The First Expansion on BBVA, Javier Botín, Tesla, IBEX wages and gold record"
Así se fijará el precio de una posible segunda opa de BBVA sobre Sabadell,2025-10-08,This will fix the price of a possible second opa of BBVA on Sabadell
Cerberus sondea vender viviendas en España por hasta 900 millones,2025-10-08,Cerberus probes to sell homes in Spain for up to 900 million
Fitch eleva el ráting de BBVA y mejora la perspectiva de CaixaBank,2025-10-07,Fitch raises BBVA's rating and improves CaixaBank's perspective
El CEO de BBVA se enfrenta a Sabadell en la recta final de la opa,2025-10-07,BBVA CEO Faces Sabadell in Opa’s Final Straight
"Onur Genç (BBVA): ""Los institucionales nos han dicho que van a ir a la opa""",2025-10-07,"Onur Genç (BBVA): ""Institutionals have told us they are going to the Opa"""
Zurich rechaza acudir a la opa de BBVA sobre Sabadell,2025-10-07,Zurich refuses to go to BBVA's opa about Sabadell
BBVA y Sabadell emulan a MásMóvil en su lucha por el precio equitativo,2025-10-07,BBVA and Sabadell emulate MoreMovil in their fight for fair price
"Sabadell solicita a la CNMV medidas para evitar que se ""manipule"" el mercado en la opa",2025-10-07,"Sabadell asks CNMV for measures to prevent ""manipulate"" the market in the Opa"
Cinven encarga a Morgan Stanley preparar su salida de Burger King,2025-10-07,Cinven orders Morgan Stanley to prepare his way out of Burger King.
"Opa BBVA-Sabadell: la prima se reduce al 1,08% en la recta final",2025-10-07,Opa BBVA-Sabadell: the premium is reduced to 1.08% in the final line
Goldman Sachs logra un crédito récord para desarrollar biogás,2025-10-07,Goldman Sachs achieves record credit for biogas development
El Ibex choca con los 15.600 puntos ante la crisis política francesa,2025-10-06,"The Ibex clashes with the 15,600 points in the face of the French political crisis"
Ibercaja augura oportunidades en Empresas y Banca Privada por la opa,2025-10-06,Ibercaja augura oportunidades en Empresas y Banca Privada por la opa
Kutxabank ve sostenible la mejora del dividendo y el refuerzo del capital,2025-10-06,Kutxabank sees sustainable dividend improvement and capital reinforcement
Álvarez ve recorrido en el negocio y la acción de Santander pese a la subida en Bolsa,2025-10-06,Álvarez sees route in the business and action of Santander despite the rise in the Stock Exchange
"Ortiz (Bankinter) prevé ganar clientes tras la opa BBVA-Sabadell: ""Habrá una oportunidad en la integración""",2025-10-06,"Ortiz (Bankinter) plans to win customers after the BBVA-Sabadell opa: ""There will be an opportunity in integration"""
"Escotet (Abanca): ""Es un momento atractivo para salir a Bolsa, pero no vemos motivo para hacerlo""",2025-10-06,"Escotet (Abanca): ""It's an attractive time to go to the Stock Exchange, but we don't see any reason to do it"""
"González-Bueno (Sabadell): ""Rozar el poste del 30% en esta opa será extraordinariamente difícil""",2025-10-06,"González-Bueno (Sabadell): ""Breaking the 30% pole in this opa will be extraordinarily difficult"""
"Juanjo Cano (KPMG): ""El sector financiero es un ejemplo de mejora continua y motor de crecimiento""",2025-10-06,"Juanjo Cano (KPMG): ""The financial sector is an example of continuous improvement and engine of growth"""
"David Martínez: ""Mi apoyo a la opa de BBVA ha sido recibido con insinuaciones para sesgar la decisión de los accionistas""",2025-10-06,"David Martínez: ""My support for BBVA's opa has been received with insinuations to bias the shareholders' decision"""
"La Primera de Expansión sobre ERE en Telefónica, Ignacio Juliá, Sabadell, Clevergy, el Nikkei y el rally del oro",2025-10-06,"The First Expansion on ERE in Telefónica, Ignacio Juliá, Sabadell, Clevergy, Nikkei and the Gold Rally"
"""Santander España debe evolucionar a un banco de cliente para ser el mejor""",2025-10-06,"""Santander Spain must evolve to a customer bank to be the best"""
"La City cree que BBVA superará el 30% de Sabadell, pero no llegaría al 50%",2025-10-06,"The City believes that BBVA will exceed 30% of Sabadell, but would not reach 50%"
Zurich valora en más de 500 millones su posición en la alianza con Sabadell,2025-10-06,Zurich values its position in the alliance with Sabadell by more than 500 million
BBVA augura que puede lograr hasta el 70% de Sabadell y este lo rebaja a apenas un 25%,2025-10-05,BBVA predicts that it can achieve up to 70% of Sabadell and this reduces it to just 25%
Siete valores para ganar en Bolsa en la recta final del año,2025-10-04,Seven values to win on the stock market in the final line of the year
Qué dividendos cobrarán los accionistas de BBVA y Sabadell,2025-10-04,What dividends will be collected by the shareholders of BBVA and Sabadell
"Cómo se liquidará
el canje de acciones de BBVA-Sabadell",2025-10-04,How the stock exchange of BBVA-Sabadell will be settled
Santander suma admiradores en Bolsa,2025-10-04,Santander joins fans in Bolsa
Cuerpo recuerda que la CNMV debe velar por las condiciones legales en torno a la opa,2025-10-03,Body recalls that the CNMV must ensure the legal conditions around the opa
Relevo histórico a los banqueros españoles que salvaron la City de Londres,2025-10-03,Historical Relay to Spanish Bankers Who Saved the City of London
"El Ibex suma un 1,6% en la semana y cierra en máximos desde 2007",2025-10-03,Ibex totals 1.6% per week and closes at peaks since 2007
Moody's mejora el ráting de los bancos españoles,2025-10-03,Moody's improves the rating of Spanish banks
BBVA denuncia ante la CNMV trabas de Sabadell a los accionistas para acudir a la opa,2025-10-03,BBVA denounces to the CNMV the obstacles of Sabadell to the shareholders to go to the opa
"La Primera de Expansión sobre BBVA, BlackRock, Carlos Slim, Milei y Gaza",2025-10-03,"The First Expansion on BBVA, BlackRock, Carlos Slim, Milei and Gaza"
BBVA alcanza ya el 10% de Sabadell con su opa,2025-10-03,BBVA already reaches 10% of Sabadell with its opa
"La prima que ofrece BBVA sobre la cotización de Sabadell alcanza el 2,91%",2025-10-03,BBVA’s premium on Sabadell’s listing reaches 2.91%
"BlackRock escala hasta el 7,23% del capital de Sabadell",2025-10-03,BlackRock scales to 7.23% of Sabadell's capital
"BlackRock, Vanguard y Capital Group, los dueños de la Bolsa española",2025-10-03,"BlackRock, Vanguard and Capital Group, the owners of the Spanish Stock Exchange"
El Ibex 35 apunta a récord por encima de los 16.000 puntos,2025-10-03,"Ibex 35 points to record above 16,000 points"
El Ibex se toma un respiro en máximos y cierra al filo de los 15.500 puntos,2025-10-02,"The Ibex takes a breather in maximums and closes at the edge of the 15,500 points"
Minoritarios de Sabadell avisan de posibles acuerdos ocultos de David Martínez y BBVA,2025-10-02,Sabadell Minors warn of possible hidden agreements by David Martínez and BBVA
BBVA descarta una ampliación de capital para financiar una segunda opa,2025-10-02,BBVA discards a capital increase to finance a second opa
Citi descarta que BBVA haga una gran mejora del precio en una segunda opa,2025-10-02,Citi rules out BBVA making a big price improvement in a second opa
"La Primera de Expansión sobre ACS, Acciona, Ferrovial, Sabadell, Aena, Bad Bunny y Nokia",2025-10-02,"The First Expansion on ACS, Acciona, Ferrovial, Sabadell, Aena, Bad Bunny and Nokia"
"David Martínez, accionista de Sabadell, se enfrenta a Goldman Sachs, Morgan Stanley y Evercore",2025-10-02,"David Martinez, shareholder of Sabadell, faces Goldman Sachs, Morgan Stanley and Evercore"
"Minoristas, Zurich y Amundi superan el 45% de Sabadell",2025-10-02,"Minors, Zurich and Amundi exceed 45% of Sabadell"
"La gran cumbre de la banca, el seguro y la gestión de activos",2025-10-02,"The big summit of banking, insurance and asset management"
"Torres: ""Alcanzaremos el 50% de Sabadell; la decisión de David Martínez habla por sí sola""",2025-10-01,"Torres: ""We will reach 50% of Sabadell; David Martínez's decision speaks for itself"""
"La Primera de Expansión sobre David Martínez, Sabadell, Repsol, Indra, EEUU, aranceles y guerra híbrida",2025-10-01,"The First Expansion on David Martínez, Sabadell, Repsol, Indra, USA, Tariffs and Hybrid War"
Sabadell borra su prima de riesgo y complica los ahorros de BBVA en la opa,2025-10-01,Sabadell erases its risk premium and complicates BBVA’s savings in the opa
